who_id,spatial_type,country_code,region,sex,prevalence,ci_low,ci_high,year
8479330,Country,COL,Americas,Both sexes,30.469576,15.572826,48.045967,2012
8479681,Country,GMB,Africa,Female,25.125896,11.549822,43.048187,2017
8480012,Country,NIC,Americas,Both sexes,32.285957,16.841219,51.846851,2004
8480957,Region,EUR,,Female,27.793983,24.728561,30.984682,2004
8481165,Country,MNE,Europe,Both sexes,19.828291,7.9112501,36.945259,2002
8481420,Country,VNM,Western Pacific,Both sexes,22.800325,18.884798,27.020597,2012
8481776,Country,IDN,South-East Asia,Male,14.488838,6.688942,25.561575,2002
8481874,Country,CMR,Africa,Female,24.926939,7.7248292,51.13052,2006
8481954,Country,UZB,Europe,Both sexes,12.702197,8.9550066,17.069305,2006
8482086,Country,COG,Africa,Male,16.398039,5.1530309,34.516724,2005
8482342,Country,AUT,Europe,Male,29.036785,19.795103,39.133732,2001
8482797,Country,NOR,Europe,Female,37.815254,18.101976,60.848217,2019
8483228,Country,NOR,Europe,Both sexes,35.115173,20.019922,52.541206,2022
8484087,Country,BDI,Africa,Both sexes,16.278543,7.0274949,30.020136,2006
8484950,Country,MWI,Africa,Male,5.6581879,3.488101,8.5005264,2010
8485090,Country,BOL,Americas,Both sexes,22.341352,15.057984,30.692974,2020
8486373,Country,GMB,Africa,Both sexes,22.084749,15.159306,30.286915,2008
8486614,Country,EST,Europe,Female,13.815209,9.5163298,18.948864,2009
8487592,Country,SYC,Africa,Female,21.286036,10.513504,35.121784,2000
8487624,Country,IRQ,Eastern Mediterranean,Female,54.075317,41.48,66.534843,2013
8487982,Country,PRY,Americas,Female,35.220112,14.376119,60.671661,2016
8488803,Country,NPL,South-East Asia,Male,9.9842319,6.0093021,15.179674,2017
8489853,Country,ROU,Europe,Both sexes,21.143118,12.1537,32.316769,2004
8490315,Country,SWZ,Africa,Female,24.972937,14.571529,37.111584,2013
8490552,Country,URY,Americas,Both sexes,29.940302,22.941069,37.474873,2005
8491398,Country,VCT,Americas,Both sexes,26.211351,17.20878,36.69754,2007
8491755,Country,STP,Africa,Both sexes,17.755711,13.240065,22.97105,2013
8493243,Country,UGA,Africa,Female,12.467429,3.9573469,26.343554,2003
8493626,Country,LBR,Africa,Both sexes,17.481501,12.918037,22.723677,2017
8493769,Country,BTN,South-East Asia,Both sexes,11.81733,5.4956751,21.020775,2003
8494656,Country,BFA,Africa,Both sexes,16.85297,11.607518,22.727058,2021
8494678,Country,BEL,Europe,Both sexes,41.105251,36.239372,45.739212,2006
8494830,Country,AUS,Western Pacific,Female,30.784931,18.297512,44.540169,2002
8496519,Country,CHL,Americas,Both sexes,26.59963,18.560814,35.552929,2006
8496809,Country,KHM,Western Pacific,Male,12.429566,7.6217132,18.224102,2018
8497675,Country,GRC,Europe,Male,30.589533,23.292156,38.420513,2015
8497748,Country,BDI,Africa,Female,15.076634,2.9995062,36.645496,2015
8497751,Country,SVN,Europe,Male,16.803856,11.531825,22.992971,2011
8498257,Country,IDN,South-East Asia,Female,16.326834,8.0119667,27.304787,2021
8499806,Country,GTM,Americas,Male,11.595111,5.6924758,19.538519,2002
8499936,Country,MUS,Africa,Female,34.71727,21.445057,49.117123,2022
8501075,Country,LAO,Western Pacific,Male,10.434552,6.3112631,15.823687,2010
8502233,Country,DJI,Eastern Mediterranean,Male,14.661919,5.1501594,31.114578,2009
8502871,Country,MUS,Africa,Both sexes,28.705423,22.674421,35.424267,2015
8503482,Country,IDN,South-East Asia,Both sexes,15.46693,9.5888548,22.647509,2004
8504000,Country,GIN,Africa,Both sexes,18.496605,8.1372986,33.477203,2007
8504703,Country,MDA,Europe,Male,12.182919,6.8518028,19.197807,2021
8506018,Country,PLW,Western Pacific,Female,40.233467,17.601377,65.114281,2001
8506414,Country,BLZ,Americas,Male,32.70945,14.093222,57.88303,2015
8506648,Country,KNA,Americas,Female,38.692711,18.09123,61.925251,2002
8507535,Country,MDG,Africa,Both sexes,14.667747,6.3331885,27.764479,2008
8508953,Country,DEU,Europe,Female,18.608286,13.581665,24.570042,2006
8510138,Country,SUR,Americas,Male,39.655746,25.191874,55.076645,2017
